date,model,alpha,pinball_loss
2023-01-19,gas_vine,0.01,0.00019064696105211012
2023-01-20,gas_vine,0.01,0.0001726281991556178
2023-01-23,gas_vine,0.01,0.00015926699355017608
2023-01-24,gas_vine,0.01,0.00017824339108943565
2023-01-25,gas_vine,0.01,0.000180757309465528
2023-01-26,gas_vine,0.01,0.00013077502239124513
2023-01-27,gas_vine,0.01,0.00012200660895398435
2023-01-30,gas_vine,0.01,7.419367468097481e-05
2023-01-31,gas_vine,0.01,0.0001697838708936616
2023-02-01,gas_vine,0.01,0.00022132932923189197
2023-02-02,gas_vine,0.01,8.728177495603048e-05
2023-02-03,gas_vine,0.01,0.0011767490836721596
2023-02-06,gas_vine,0.01,8.606280563092322e-05
2023-02-07,gas_vine,0.01,0.00016333153044228652
2023-02-08,gas_vine,0.01,0.00013546291149034998
2023-02-09,gas_vine,0.01,0.00012300429353040985
2023-02-10,gas_vine,0.01,0.00010480679585987088
2023-02-13,gas_vine,0.01,0.00018327224143812137
2023-02-14,gas_vine,0.01,0.00010558698500765066
2023-02-15,gas_vine,0.01,8.356896564451283e-05
2023-02-16,gas_vine,0.01,0.00010498025368779744
2023-02-17,gas_vine,0.01,0.0001187106686966643
2023-02-21,gas_vine,0.01,1.664895482644202e-05
2023-02-22,gas_vine,0.01,0.00010012159891867125
2023-02-23,gas_vine,0.01,0.00015086281864851753
2023-02-24,gas_vine,0.01,1.234285830031722e-05
2023-02-27,gas_vine,0.01,0.00017801918599574495
2023-02-28,gas_vine,0.01,0.0001197157751261832
2023-03-01,gas_vine,0.01,0.00016592753227600491
2023-03-02,gas_vine,0.01,0.00012566823704065395
2023-03-03,gas_vine,0.01,0.0002292762703507125
2023-03-06,gas_vine,0.01,9.274834073160293e-05
2023-03-07,gas_vine,0.01,2.8902611835073984e-05
2023-03-08,gas_vine,0.01,0.00016535546807054945
2023-03-09,gas_vine,0.01,0.00010812566600383795
2023-03-10,gas_vine,0.01,0.00020718535741090136
2023-03-13,gas_vine,0.01,0.00021408831314394434
2023-03-14,gas_vine,0.01,0.0001317877059802784
2023-03-15,gas_vine,0.01,0.00010698849184352697
2023-03-16,gas_vine,0.01,0.00021180373592858933
2023-03-17,gas_vine,0.01,0.0002157321580857923
2023-03-20,gas_vine,0.01,0.0001807404176555299
2023-03-21,gas_vine,0.01,0.00015501218884918756
2023-03-22,gas_vine,0.01,0.0002401337235462317
2023-03-23,gas_vine,0.01,0.00023943622580150024
2023-03-24,gas_vine,0.01,0.0001263537999678702
2023-03-27,gas_vine,0.01,0.00011044176535169904
2023-03-28,gas_vine,0.01,0.00019298137988025044
2023-03-29,gas_vine,0.01,0.0001633271376003155
2023-03-30,gas_vine,0.01,0.00020984546026307698
2023-03-31,gas_vine,0.01,0.00014802280586008728
2023-04-03,gas_vine,0.01,0.000196051312589068
2023-04-04,gas_vine,0.01,0.0001822231175059547
2023-04-05,gas_vine,0.01,0.0001363325959096128
2023-04-06,gas_vine,0.01,0.00013497910567842144
2023-04-10,gas_vine,0.01,8.152601746052436e-05
2023-04-11,gas_vine,0.01,0.00016444178569097472
2023-04-12,gas_vine,0.01,0.00013481892616545185
2023-04-13,gas_vine,0.01,0.00020318036913941819
2023-04-14,gas_vine,0.01,4.6558291954947845e-05
2023-04-17,gas_vine,0.01,9.22776438938179e-05
2023-04-18,gas_vine,0.01,0.00015055192933062283
2023-04-19,gas_vine,0.01,6.724384025136613e-05
2023-04-20,gas_vine,0.01,0.00014040049293532846
2023-04-21,gas_vine,0.01,6.686764818458116e-05
2023-04-24,gas_vine,0.01,0.00013254459951911603
2023-04-25,gas_vine,0.01,9.831212831804853e-05
2023-04-26,gas_vine,0.01,9.726607226737847e-05
2023-04-27,gas_vine,0.01,0.00014323088250000864
2023-04-28,gas_vine,0.01,0.00014723077783398487
2023-05-01,gas_vine,0.01,5.3974978692445596e-05
2023-05-02,gas_vine,0.01,0.00015641312760607026
2023-05-03,gas_vine,0.01,0.00015615636359399854
2023-05-04,gas_vine,0.01,0.00014451208965905523
